rank,finalWorth,personName,age,country,countryOfCitizenship,source,industries,organization,selfMade,gender,birthDate,title,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,total_tax_rate_country,latitude_country,longitude_country
1,211000,Bernard Arnault & family,74.70225872689939,France,France,LVMH,Fashion & Retail,LVMH Moët Hennessy Louis Vuitton,False,M,1949-03-05 00:00:00,Chairman and CEO,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,46.227638,2.213749
2,180000,Elon Musk,52.388774811772755,United States,United States,"Tesla, SpaceX",Automotive,Tesla,True,M,1971-06-28 00:00:00,CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
3,114000,Jeff Bezos,59.846680355920604,United States,United States,Amazon,Technology,Amazon,True,M,1964-01-12 00:00:00,Chairman and Founder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
4,107000,Larry Ellison,79.24982888432581,United States,United States,Oracle,Technology,Oracle,True,M,1944-08-17 00:00:00,CTO and Founder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
5,106000,Warren Buffett,93.21560574948666,United States,United States,Berkshire Hathaway,Finance & Investments,Berkshire Hathaway Inc. (Cl A),True,M,1930-08-30 00:00:00,CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
6,104000,Bill Gates,68.05475701574264,United States,United States,Microsoft,Technology,Bill & Melinda Gates Foundation,True,M,1955-10-28 00:00:00,Cochair,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
7,94500,Michael Bloomberg,81.75496235455168,United States,United States,Bloomberg LP,Media & Entertainment,Bloomberg,True,M,1942-02-14 00:00:00,CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
8,93000,Carlos Slim Helu & family,83.80287474332648,Mexico,Mexico,Telecom,Telecom,América Móvil,True,M,1940-01-28 00:00:00,Honorary Chairman,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,55.1,23.634501,-102.552784
9,83400,Mukesh Ambani,66.57905544147845,India,India,Diversified,Diversified,Reliance Industries,False,M,1957-04-19 00:00:00,Founder and Chairman,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
10,80700,Steve Ballmer,67.6495550992471,United States,United States,Microsoft,Technology,Los Angeles Clippers,True,M,1956-03-24 00:00:00,Owner,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
11,80500,Francoise Bettencourt Meyers & family,70.35455167693361,France,France,L'Oréal,Fashion & Retail,Unknown,False,F,1953-07-10 00:00:00,Unknown,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,46.227638,2.213749
12,79200,Larry Page,50.64476386036961,United States,United States,Google,Technology,Alphabet,True,M,1973-03-26 00:00:00,Cofounder and board member,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
13,77300,Amancio Ortega,87.63860369609856,Spain,Spain,Zara,Fashion & Retail,Unknown,True,M,1936-03-28 00:00:00,Unknown,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,47.0,40.463667,-3.74922
14,76000,Sergey Brin,50.23956194387406,United States,United States,Google,Technology,Alphabet,True,M,1973-08-21 00:00:00,Cofounder and board member,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
15,68000,Zhong Shanshan,68.96098562628337,China,China,"Beverages, pharmaceuticals",Food & Beverage,Unknown,True,M,1954-12-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
16,64400,Mark Zuckerberg,39.50992470910335,United States,United States,Facebook,Technology,Meta Platforms,True,M,1984-05-14 00:00:00,Cofounder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
17,59000,Charles Koch & family,88.04380561259411,United States,United States,Koch Industries,Diversified,"Koch Industries, Inc.",False,M,1935-11-01 00:00:00,Chairman and CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
